age,gender,year,loc,deaths,nb_c,orphans
50-66,Female,2004,73,514,0.11530170505792783,59
55-59,Male,2004,73,201,0.4295091595122887,86
60-76,Male,2004,73,1066,0.11208205297039679,119
10-14,Female,2004,76,67,0.00910948567193733,1
10-14,Male,2004,76,113,2.935933575692488e-4,0
15-19,Female,2004,76,116,0.245324087608807,28
15-19,Male,2004,76,639,0.06421944781648353,41
20-24,Female,2004,76,177,0.7115768321468695,126
20-24,Male,2004,76,1120,0.3493885830601252,391
25-29,Female,2004,76,153,1.1726199327364437,179
25-29,Male,2004,76,956,0.776417275855186,742
30-34,Female,2004,76,197,1.4590103363554128,287
30-34,Male,2004,76,888,1.1807518428876653,1049
35-39,Female,2004,76,211,1.2974462787950471,274
35-39,Male,2004,76,780,1.3565602027613517,1058
40-44,Female,2004,76,264,0.8709143802345433,230
40-44,Male,2004,76,685,1.1621853922824392,796
45-49,Female,2004,76,347,0.46697553774209183,162
45-49,Male,2004,76,667,0.8061819203378737,538
50-54,Male,2004,76,672,0.48644381441636103,327
50-66,Female,2004,76,1920,0.07361668677291877,141
55-59,Male,2004,76,613,0.26957327296829625,165
60-76,Male,2004,76,3557,0.06588615521454887,234
10-14,Female,2004,81,8,0.022950370484646238,0
10-14,Male,2004,81,8,2.6183409957796053e-4,0
15-19,Female,2004,81,17,0.3951958248468915,7
15-19,Male,2004,81,41,0.07435871156300718,3
20-24,Female,2004,81,16,1.1200018772086038,18
20-24,Male,2004,81,80,0.4847253594489395,39
25-29,Female,2004,81,8,1.7944498118020022,14
25-29,Male,2004,81,70,1.1235679864203334,79
30-34,Female,2004,81,9,2.209185284081313,20
30-34,Male,2004,81,52,1.746249851754384,91
35-39,Female,2004,81,8,1.977018506688941,16
35-39,Male,2004,81,46,2.05928158005391,95
40-44,Female,2004,81,20,1.3620836522929414,27
40-44,Male,2004,81,31,1.8048309243281988,56
45-49,Female,2004,81,14,0.8052411901132766,11
45-49,Male,2004,81,28,1.3483844331950354,38
50-54,Male,2004,81,36,0.9447185357694268,34
50-66,Female,2004,81,60,0.16358717626672814,10
55-59,Male,2004,81,39,0.6117749245513207,24
60-76,Male,2004,81,135,0.17545071461043465,24
10-14,Female,2004,85,2,0.011006164494949542,0
10-14,Male,2004,85,9,2.921029741091115e-4,0
15-19,Female,2004,85,8,0.2697344374186161,2
15-19,Male,2004,85,33,0.0466555179548219,2
20-24,Female,2004,85,10,0.8037379978370769,8
20-24,Male,2004,85,79,0.3230772721621226,26
25-29,Female,2004,85,12,1.313821448006712,16
25-29,Male,2004,85,78,0.7994258615143202,62
30-34,Female,2004,85,17,1.5926554804913604,27
30-34,Male,2004,85,62,1.2329682081776139,76
35-39,Female,2004,85,12,1.4057076591607947,17
35-39,Male,2004,85,55,1.4706948643255613,81
40-44,Female,2004,85,10,0.9434334690206577,9
40-44,Male,2004,85,42,1.2989382851449407,55
45-49,Female,2004,85,8,0.5279346912113229,4
45-49,Male,2004,85,26,0.9409542918040406,24
50-54,Male,2004,85,36,0.5931764538143259,21
50-66,Female,2004,85,60,0.09460201096946073,6
55-59,Male,2004,85,34,0.32796584608184015,11
60-76,Male,2004,85,134,0.0755589543368295,10
10-14,Female,2004,86,7,0.015082407015621583,0
10-14,Male,2004,86,6,2.4328216633000694e-4,0
15-19,Female,2004,86,14,0.32872262225102394,5
15-19,Male,2004,86,38,0.07886208563096606,3
20-24,Female,2004,86,17,0.8745272429553477,15
20-24,Male,2004,86,80,0.4223081268993203,34
25-29,Female,2004,86,16,1.2854623076285143,21
25-29,Male,2004,86,55,0.8667717934199447,48
30-34,Female,2004,86,18,1.487463709686208,27
30-34,Male,2004,86,42,1.223354123465507,51
35-39,Female,2004,86,10,1.2883215026285368,13
35-39,Male,2004,86,51,1.3666999101272423,70
40-44,Female,2004,86,15,0.8819008907418909,13
40-44,Male,2004,86,34,1.1332952254187727,39
45-49,Female,2004,86,7,0.48744757549479284,3
45-49,Male,2004,86,22,0.7826722276357329,17
50-54,Male,2004,86,16,0.5105466517256684,8
50-66,Female,2004,86,38,0.09107516317579809,3
55-59,Male,2004,86,18,0.30305559993238324,5
60-76,Male,2004,86,85,0.06722704953383692,6
10-14,Female,2004,88,0,0.0040280113871680925,0
10-14,Male,2004,88,3,2.3008340523439746e-4,0
15-19,Female,2004,88,0,0.17195540577476143,0
15-19,Male,2004,88,0,0.04049114717191713,0
20-24,Female,2004,88,0,0.6378639102301324,0
20-24,Male,2004,88,9,0.294247882739257,3
25-29,Female,2004,88,2,1.2064509231537834,2
25-29,Male,2004,88,6,0.7389391390271683,4
30-34,Female,2004,88,1,1.679240966411944,2
30-34,Male,2004,88,8,1.2360481127948335,10
35-39,Female,2004,88,1,1.6770110341278477,2
35-39,Male,2004,88,0,1.5806580971662634,0
